,node_id,altid,facilitytype,commonname,facilitydetail,flowcontrol,infiltrated,waterquality,flowcontroltype,waterqualitytype,facility_type,design_storm_depth_inches,tributary_area_tc_min,total_volume_cuft,area_sqft,inf_rate_inhr,retention_volume_cuft,media_filtration_rate_inhr,hsg,minimum_retention_pct_override,treatment_rate_cfs,depth_ft,captured_pct,retained_pct
0,SWFA-100002,SWFA-100002,Pervious Pavement,Little Sprague,Concrete,,Full,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
1,SWFA-100005,SWFA-100005,Bioretention,Sprague,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
2,SWFA-100006,SWFA-100006,Pervious Pavement,Landfill Parking,Asphalt,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
3,SWFA-100007,SWFA-100007,Pervious Pavement,Landfill Parking,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
4,SWFA-100008,SWFA-100008,Pervious Pavement,Landfill Parking,Block/Brick,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
5,SWFA-100009,SWFA-100009,Tank,Heron Ridge,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
6,SWFA-100013,SWFA-100013,Pervious Pavement,Little Sprague,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
7,SWFA-100014,SWFA-100014,Pervious Pavement,Little Sprague,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
8,SWFA-100018,SWFA-100018,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
9,SWFA-100019,SWFA-100019,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
10,SWFA-100026,SWFA-100026,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
11,SWFA-100027,SWFA-100027,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
12,SWFA-100028,SWFA-100028,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
13,SWFA-100029,SWFA-100029,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
14,SWFA-100030,SWFA-100030,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
15,SWFA-100031,SWFA-100031,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
16,SWFA-100032,SWFA-100032,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
17,SWFA-100033,SWFA-100033,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
18,SWFA-100034,SWFA-100034,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
19,SWFA-100035,SWFA-100035,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
20,SWFA-100036,SWFA-100036,Bioretention,Pacific Avenue,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
21,SWFA-100040,SWFA-100040,Pervious Pavement,Little Sprague,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
22,SWFA-100042,SWFA-100042,Pervious Pavement,Little Sprague,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
23,SWFA-100044,SWFA-100044,Pervious Pavement,Little Sprague,Concrete,,,,,,pervious_pavement_simple,,,,,,,,,,,,91,91
24,SWFA-100046,SWFA-100046,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
25,SWFA-100047,SWFA-100047,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
26,SWFA-100048,SWFA-100048,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
27,SWFA-100049,SWFA-100049,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
28,SWFA-100050,SWFA-100050,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
29,SWFA-100051,SWFA-100051,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
30,SWFA-100052,SWFA-100052,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
31,SWFA-100053,SWFA-100053,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
32,SWFA-100054,SWFA-100054,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
33,SWFA-100055,SWFA-100055,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
34,SWFA-100056,SWFA-100056,Tank,Larabee Terrace,Detention,,,,Wetland,,dry_extended_detention_simple,,,,,,,,,,,,91,20
35,SWFA-100057,SWFA-100057,Tank,Larabee Terrace,Detention,,,,Wetland,,dry_extended_detention_simple,,,,,,,,,,,,91,20
36,SWFA-100058,SWFA-100058,Tank,Larabee Terrace,Detention,,,,Wetland,,dry_extended_detention_simple,,,,,,,,,,,,91,20
37,SWFA-100059,SWFA-100059,Tank,Larabee Terrace,Detention,,,,Wetland,,dry_extended_detention_simple,,,,,,,,,,,,91,20
38,SWFA-100060,SWFA-100060,Pond,21st and Pearl Overflow,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
39,SWFA-100061,SWFA-100061,Pond,"Landfill Southwest
",Combined,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
40,SWFA-100062,SWFA-100062,Pond,Kirkview,Detention,,,,IP,,wet_pond_simple,,,,,,,,,,,,91,0
41,SWFA-100063,SWFA-100063,Pond,Nguyen Plat,Detention,,,,IP,,wet_pond_simple,,,,,,,,,,,,91,0
42,SWFA-100064,SWFA-100064,Pond,"Landfill East
",Combined,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
43,SWFA-100065,SWFA-100065,Pond,Loma Court,Detention,,,,IP,,wet_pond_simple,,,,,,,,,,,,91,0
44,SWFA-100066,SWFA-100066,Bioretention,Sprague,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
45,SWFA-100067,SWFA-100067,Tank,Heron Ridge,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
46,SWFA-100068,SWFA-100068,Tank,Heron Ridge,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
47,SWFA-100069,SWFA-100069,Bioretention,Sprague,,,,,,Basic,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
48,SWFA-100070,SWFA-100070,Swale,CITY OF TACOMA DECANT FACILITY,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
49,SWFA-100071,SWFA-100071,Bioretention,Cheney Sustainable Stormwater Project,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
50,SWFA-100072,SWFA-100072,Bioretention,Cheney Sustainable Stormwater Project,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
51,SWFA-100073,SWFA-100073,Pond,Scarsella,Stormwater Treatment Wetland,,,,Stream,Enhanced,wet_pond_simple,,,,,,,,,,,,91,0
52,SWFA-100074,SWFA-100074,Tank,Tacoma Rescue Mission Adams Square,Detention,,,,,,dry_extended_detention_simple,,,,,,,,,,,,91,20
53,SWFA-100075,SWFA-100075,Tank,Northshore Parkway Tanks,Detention,,,,,,dry_extended_detention_simple,,,,,,,,,,,,91,20
54,SWFA-100076,SWFA-100076,Tank,Northshore Parkway Tanks,Detention,,,,,,dry_extended_detention_simple,,,,,,,,,,,,91,20
55,SWFA-100077,SWFA-100077,Tank,Northshore Parkway Tanks,Detention,,,,,,dry_extended_detention_simple,,,,,,,,,,,,91,20
56,SWFA-100078,SWFA-100078,Tank,Northshore Parkway Tanks,Detention,,,,,,dry_extended_detention_simple,,,,,,,,,,,,91,20
57,SWFA-100081,SWFA-100081,Swale,VersaCold,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
58,SWFA-100082,SWFA-100082,Pond,Rehe,Wet,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
59,SWFA-100083,SWFA-100083,Swale,"Lincoln Ave grade seperation
",Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
60,SWFA-100084,SWFA-100084,Bioretention,S 70th and Huson Storm Improvements,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
61,SWFA-100085,SWFA-100085,Bioretention,S 70th and Huson Storm Improvements,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
62,SWFA-100086,SWFA-100086,Swale,"Lincoln Ave grade seperation
",Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
63,SWFA-100087,SWFA-100087,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
64,SWFA-100088,SWFA-100088,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
65,SWFA-100089,SWFA-100089,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
66,SWFA-100090,SWFA-100090,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
67,SWFA-100091,SWFA-100091,Pond,Landfill North,Combined,,,,,Basic,wet_pond_simple,,,,,,,,,,,,91,0
68,SWFA-100092,SWFA-100092,Swale,Wapato Ridge,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
69,SWFA-100093,SWFA-100093,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
70,SWFA-100094,SWFA-100094,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
71,SWFA-100095,SWFA-100095,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
72,SWFA-100096,SWFA-100096,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
73,SWFA-100097,SWFA-100097,Swale,Marine View Drive Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
74,SWFA-100098,SWFA-100098,Tank,Trolly Court,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
75,SWFA-100099,SWFA-100099,Tank,Trolly Court,Detention,,,,IP,,dry_extended_detention_simple,,,,,,,,,,,,91,20
76,SWFA-100101,SWFA-100101,Swale,"Puyallup Tribe
",Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
77,SWFA-100102,SWFA-100102,Swale,Puyallup Tribe,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
78,SWFA-100103,SWFA-100103,Swale,Public Works Regional WQ Swale,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
79,SWFA-100104,SWFA-100104,Swale,Public Works Regional WQ Swale,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
80,SWFA-100105,SWFA-100105,Pond,Westridge,Detention,,,,IP,,wet_pond_simple,,,,,,,,,,,,91,0
81,SWFA-100106,SWFA-100106,Swale,S 67th and Proctor Storm Improvements,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
82,SWFA-100107,SWFA-100107,Swale,205 & 211 E 52nd St Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
83,SWFA-100108,SWFA-100108,Swale,205 & 211 E 52nd St Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
84,SWFA-100109,SWFA-100109,Bioretention,S. Visscher St. Storm Improvements 18th to 19th.,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
85,SWFA-100110,SWFA-100110,Bioretention,S. Visscher St. Storm Improvements 18th to 19th.,,,,,,Enhanced,bioretention_with_no_infiltration_simple,,,,,,,,,,,,91,0
86,SWFA-100112,SWFA-100112,Swale,Larabee Terrace,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
87,SWFA-100113,SWFA-100113,Swale,1615 s 92nd Swales,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
88,SWFA-100115,SWFA-100115,Swale,Trolly Court,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
89,SWFA-100116,SWFA-100116,Swale,Char Hill LLC Short Plat,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
90,SWFA-100117,SWFA-100117,Swale,Norpoint Way Biofiltration Swale,Biofiltration,,,,,Basic,vegetated_swale_simple,,,,,,,,,,,,91,20
91,SWFA-100118,SWFA-100118,Pond,Harbor Ridge Estates,Detention,,,,,,wet_pond_simple,,,,,,,,,,,,91,0
