,BASINNAME,SUBBASIN,pct_bd
0,WESTERN SLOPES,WS_03,0.010231570715296352
1,WESTERN SLOPES,WS_03,0.03796842591395653
2,WESTERN SLOPES,WS_04,0.04585491368332769
3,WESTERN SLOPES,WS_03,0.029094761687657802
4,WESTERN SLOPES,WS_01,0.21921602052195266
5,WESTERN SLOPES,WS_02,0.15912593634123245
6,NORTH TACOMA,NT_02,0.0001952471926858999
7,WESTERN SLOPES,WS_01,0.005013603871358841
8,NORTH TACOMA,NT_01,0.008684679795585133
9,WESTERN SLOPES,WS_01,0.0024827427824533036
10,LEACH CREEK,LC_02,0.0011923765083346075
11,WESTERN SLOPES,WS_01,0.31311744136808717
12,NORTH TACOMA,NT_02,0.009630269475931512
13,NORTH TACOMA,NT_01,0.7262679687407642
14,FLETT CREEK,FL_03,0.002178243898050511
15,FLETT CREEK,FL_03,0.004587147984022284
16,FLETT CREEK,FL_03,0.004714990395811456
17,FLETT CREEK,FL_03,0.002097917027838484
18,FLETT CREEK,FL_02,0.0021604877137057533
19,FLETT CREEK,FL_03,0.003509508120443923
20,FLETT CREEK,FL_03,0.004595953224217059
21,LEACH CREEK,LC_04,0.017496573421404548
22,LEACH CREEK,LC_06,0.24480499885555107
23,LEACH CREEK,LC_02,0.009264544273480106
24,FOSS WATERWAY,FS_11,0.032316773688243115
25,LEACH CREEK,LC_05,1.0623368124578058e-05
26,FLETT CREEK,FL_09,0.0025162683065446468
27,FLETT CREEK,FL_10,0.08411048841118175
28,FLETT CREEK,FL_03,0.027811366131406102
29,LEACH CREEK,LC_05,0.046216518519516366
30,NORTHEAST TACOMA,NE_03,4.5644357478296136e-05
31,NORTHEAST TACOMA,NE_03,0.0027340555268376126
32,NORTHEAST TACOMA,NE_03,0.11398135042197062
33,NORTHEAST TACOMA,NE_02,0.24666271094780856
34,NORTHEAST TACOMA,NE_04,0.2558736398380089
35,NORTHEAST TACOMA,NE_05,0.035330093957935196
36,NORTHEAST TACOMA,NE_03,0.0028629253363713298
37,JOES CREEK,JC_02,0.06115843445792059
38,NORTHEAST TACOMA,NE_03,0.005080250498765191
39,FLETT CREEK,FL_02,0.02723890278755927
40,JOES CREEK,JC_02,9.084533585741748e-05
41,TIDEFLATS,TF_03,0.0041615971426647086
42,FLETT CREEK,FL_01,0.009243837632425886
43,NORTHEAST TACOMA,NE_03,0.0063883145650184825
44,NORTHEAST TACOMA,NE_03,0.006617608745159732
45,NORTHEAST TACOMA,NE_03,0.0006384267284504218
46,JOES CREEK,JC_02,0.03404738908705452
47,NORTHEAST TACOMA,NE_03,0.001032632385478535
48,JOES CREEK,JC_02,0.005248644653199206
49,JOES CREEK,JC_01,0.02236122582775058
50,NORTHEAST TACOMA,NE_02,0.007790372922806725
