SUBBASIN,Airport Compatibility Residential,Crossroads Mixed-Use Center,Downtown Regional Growth Center,General Commercial,Heavy Industrial,Light Industrial,Low-Scale Residential,Major Institutional Campus,Mid-Scale Residential,Multi-Family (High Density),Neighborhood Commercial,Neighborhood Mixed-Use Center,Parks and Open Space,Shoreline,Tacoma Mall Regional Growth Center
FL_01,,0.0008322365255302416,,0.042233358970754316,,,0.5841078060922432,0.12502118818906272,0.12132512247479672,,0.039361802387904404,,0.08711848535970844,,
FL_02,,0.05589978403206868,,,0.25541550471813756,0.008341813642653115,0.1192931307981332,0.06175853059044098,0.15291181662266012,0.002693114265480411,0.04703795324451815,,0.29664835208590784,,
FL_03,0.007827527440089875,,,0.04327852563597832,0.07676483053301496,0.04674288882972174,0.3658077806378137,0.03793978831877085,0.1311218309330518,,0.03229318074195178,0.04940288045578031,0.1881388357385323,,0.020681930735294334
FL_04,0.14025957562198701,,,0.05096506342798873,,0.04407367606099235,0.3490228327074103,0.034866856429707646,0.05418570018974872,3.677186740764803e-05,0.00913062039588539,,0.1398926819707721,,0.17756622132810018
FL_05,,,,0.10813615758639634,,,0.5853393295819712,,0.030437223585263264,,0.020725041821983172,,0.004659269631083452,0.010397166177456235,0.24030581161584633
FL_06,,,,0.016925447939916807,,,0.8468955960559087,,0.08607571337860886,,0.0227278080964528,,0.025326618868494324,0.002048815660618338,
FL_07,,,,0.21856202676126604,,0.0038054632668073018,0.4275227726696821,0.002680677639711079,0.13792104417108594,0.0001913565163841504,0.02021595921153244,,0.08963784242139697,0.0994628573421339,
FL_08,,,,0.20323553261483288,,0.013953616155608263,0.5851356042718662,,0.17913328279587482,,0.005863336784590957,,0.012599124633746888,7.950274348000788e-05,
FL_09,,0.027503920953223904,,0.029739378938807057,,,0.743086791846249,,0.12068007226014156,,0.0405040408113389,,0.038485795190239536,,
FL_10,,,,0.2429587485443774,,0.0002058229917766117,0.10001538220793552,,0.4587484043572917,,0.05819418966416791,,0.13987745223445083,,
FS_01,,0.18153763952043722,,,0.020433226749102886,0.030952472787354895,0.39662238490592766,0.05046722036070754,0.1452091269669351,0.013567840228809575,0.07268906908976026,,0.08852101939096493,,
FS_02,,,,,0.2759956701876267,0.1114591925249984,,,,,,,0.00404715144274122,,0.6084979858446337
FS_03,,,,0.0808890421528216,0.07545155561212732,0.15815126669238547,0.28738630691150563,0.016311730313544243,0.0654890734235365,0.004856646445587163,0.022278147747737388,,0.23635272701796892,,0.05283350368278573
FS_04,,,0.06107054057110278,,0.09901713211035776,0.15552488280148527,0.485539999129543,0.0012522033802853914,0.08593759570260723,,0.020031022936700987,,0.09162662336791755,,
FS_05,,,0.6080561152301208,,,,0.1857434421821643,0.059595992214885464,0.064243743800517,0.004001124946079269,0.011279585162298716,0.006169354729349091,0.01595393907055843,0.044956702664026946,
FS_06,,,0.549518192870867,,,,0.00869648993059801,0.3429931975562097,0.018816733646614656,,,,0.0043048763130541425,0.07567050968265641,
FS_07,,,0.8674299244653658,,,0.04331867503189085,,,,,,,0.07285245376497126,0.016398946737772008,
FS_08,,,0.12809438198779494,0.00791993172190766,,0.023167914677864623,0.3945270118130578,,0.2536748828294431,,0.0174792434818908,,0.175136633488041,,
FS_09,,,0.009420258445348922,0.001775827193999742,,,0.5651811234833646,0.03490636217140402,0.17194891112142419,,0.04224467163717654,0.09585852491470336,0.07866432103257867,,
FS_10,,0.11396202931831186,,0.0025150533602329183,,,0.5644718627591496,,0.1843300919250056,0.010150354443349077,0.05809737648420007,0.007171774046112542,0.05930145766363842,,
FS_11,,0.032802302751602924,,0.00940009118327443,,0.009026769195887909,0.6490618359213632,,0.10511527253436288,0.00618316182794377,0.03230992770899026,0.0009659432099016327,0.15513469566667284,,
FS_12,,,0.3378686325424838,,,,0.07664742824971499,,0.007982909042666731,0.15152486928306094,,0.12382496369948658,0.29241260189082824,0.00973859529175883,
FS_13,,,0.08622852205895351,,0.7896903561013621,,,,,,,,,0.12408112183968453,
FS_14,,,,,0.7973157539760083,,,,,,,,,0.2026842460239917,
FS_15,,,,,0.6684907299723739,,,,,,,,,0.33150927002762604,
JC_01,,,,,,,0.9744824144825419,,,,,,0.025517585517458103,,
JC_02,,,,,,,0.6114822246221171,,,,,,0.38851777537788285,,
