,SUBBASIN,Landuse Airport Compatibility Residential,Landuse Crossroads Mixed-Use Center,Landuse Downtown Regional Growth Center,Landuse General Commercial,Landuse Heavy Industrial,Landuse Light Industrial,Landuse Low-Scale Residential,Landuse Major Institutional Campus,Landuse Mid-Scale Residential,Landuse Multi-Family (High Density),Landuse Neighborhood Commercial,Landuse Neighborhood Mixed-Use Center,Landuse Parks and Open Space,Landuse Shoreline,Landuse Tacoma Mall Regional Growth Center,Landcover Pasture,Landcover Grass,Landcover Water,Landcover Impervious-roof,Landcover Impervious-nonRoof,Landcover Impervious-total,Age_of_Development,Pavement_Condition,Biodiversity,Urban_Heat,discharge_points
0,FL_01,0.0,0.0008322365255302416,0.0,0.042233358970754316,0.0,0.0,0.5841078060922432,0.12502118818906272,0.12132512247479672,0.0,0.039361802387904404,0.0,0.08711848535970844,0.0,0.0,0.18246848874028151,0.20004920215928856,0.0,0.17730261324687469,0.27157747634425955,0.44888008959113423,4.99258530709416,59.70906176220455,0.07052763766608225,29.309959017677517,5.0
1,FL_02,0.0,0.05589978403206868,0.0,0.0,0.25541550471813756,0.008341813642653115,0.1192931307981332,0.06175853059044098,0.15291181662266012,0.002693114265480411,0.04703795324451815,0.0,0.29664835208590784,0.0,0.0,0.1641006358963205,0.25389597327237523,0.0,0.10662974189252428,0.29340425212288496,0.40003399401540923,4.961520362201287,60.19654350612982,0.1348716131135955,28.856208755656716,28.0
2,FL_03,0.007827527440089875,0.0,0.0,0.04327852563597832,0.07676483053301496,0.04674288882972174,0.3658077806378137,0.03793978831877085,0.1311218309330518,0.0,0.03229318074195178,0.04940288045578031,0.1881388357385323,0.0,0.020681930735294334,0.1838468162311203,0.2085480070376755,0.0011936675282476152,0.15490130079052897,0.342241617667526,0.4971429184580549,4.942789622963355,65.397894772304,0.04949512615054001,28.501146394967744,19.0
3,FL_04,0.14025957562198701,0.0,0.0,0.05096506342798873,0.0,0.04407367606099235,0.3490228327074103,0.034866856429707646,0.05418570018974872,3.677186740764803e-05,0.00913062039588539,0.0,0.1398926819707721,0.0,0.17756622132810018,0.21080812703897697,0.13565250510800006,0.0,0.177895017476261,0.33215706200208633,0.5100520794783473,4.992108388805712,61.0697654239641,0.11850641096882482,28.894392712412536,4.0
4,FL_05,0.0,0.0,0.0,0.10813615758639634,0.0,0.0,0.5853393295819712,0.0,0.030437223585263264,0.0,0.020725041821983172,0.0,0.004659269631083452,0.010397166177456235,0.24030581161584633,0.20535923401817885,0.15385700881912523,0.0,0.1740569491915636,0.40887800442067795,0.5829349536122416,4.998515791299861,59.21081907390075,0.0010612566795572356,29.299657011348213,17.0
5,FL_06,0.0,0.0,0.0,0.016925447939916807,0.0,0.0,0.8468955960559087,0.0,0.08607571337860886,0.0,0.0227278080964528,0.0,0.025326618868494324,0.002048815660618338,0.0,0.2725113820251759,0.18309053279438575,0.0,0.20036380194242853,0.274143989793784,0.47450779173621255,4.9923975648211165,61.70951440559464,0.010100530605890692,29.558469056419177,3.0
6,FL_07,0.0,0.0,0.0,0.21856202676126604,0.0,0.0038054632668073018,0.4275227726696821,0.002680677639711079,0.13792104417108594,0.0001913565163841504,0.02021595921153244,0.0,0.08963784242139697,0.0994628573421339,0.0,0.21226206977794573,0.18004038236105305,0.03234098442779385,0.14508975408605293,0.27880360799761733,0.42389336208367023,4.998998623286599,57.02165018709347,0.1565618282900276,29.172903415495504,2.0
7,FL_08,0.0,0.0,0.0,0.20323553261483288,0.0,0.013953616155608263,0.5851356042718662,0.0,0.17913328279587482,0.0,0.005863336784590957,0.0,0.012599124633746888,7.950274348000788e-05,0.0,0.2290465569310212,0.11636181543334131,0.0,0.22235093024201524,0.3522481187409884,0.5745990489830036,4.989784314222201,59.916780175582886,0.023345573736748726,29.419913072682217,0.0
8,FL_09,0.0,0.027503920953223904,0.0,0.029739378938807057,0.0,0.0,0.743086791846249,0.0,0.12068007226014156,0.0,0.0405040408113389,0.0,0.038485795190239536,0.0,0.0,0.18583689354980004,0.253531461818054,0.0,0.18291992344475563,0.25786250327171073,0.4407824267164664,4.981749636920619,59.00428987468871,0.026546986471063714,28.798609880984564,18.0
9,FL_10,0.0,0.0,0.0,0.2429587485443774,0.0,0.0002058229917766117,0.10001538220793552,0.0,0.4587484043572917,0.0,0.05819418966416791,0.0,0.13987745223445083,0.0,0.0,0.1505802399210793,0.06538953134370379,0.02353538917551576,0.20899450290256918,0.39373261025633643,0.6027271131589056,5.0,52.223397562069316,0.09940186145329334,29.313801810824522,7.0
10,FS_01,0.0,0.18153763952043722,0.0,0.0,0.020433226749102886,0.030952472787354895,0.39662238490592766,0.05046722036070754,0.1452091269669351,0.013567840228809575,0.07268906908976026,0.0,0.08852101939096493,0.0,0.0,0.2261329646162775,0.13651914910539886,0.0,0.17236656843278245,0.378954249250295,0.5513208176830775,4.994615602662031,59.52034951454317,0.0,29.170556452798145,0.0
11,FS_02,0.0,0.0,0.0,0.0,0.2759956701876267,0.1114591925249984,0.0,0.0,0.0,0.0,0.0,0.0,0.00404715144274122,0.0,0.6084979858446337,0.12338388387475344,0.04601477271993466,0.0,0.24133342853280682,0.547405191580413,0.7887386201132198,4.999344442673442,56.1097428152816,0.0,28.492465463982324,0.0
12,FS_03,0.0,0.0,0.0,0.0808890421528216,0.07545155561212732,0.15815126669238547,0.28738630691150563,0.016311730313544243,0.0654890734235365,0.004856646445587163,0.022278147747737388,0.0,0.23635272701796892,0.0,0.05283350368278573,0.2200274250299071,0.23613160768153668,0.0007372953770173707,0.12332032948961573,0.34279679082349385,0.4661171203131096,4.999482928070123,60.856079851299356,0.010527366660176736,28.21555456942205,3.0
13,FS_04,0.0,0.0,0.06107054057110278,0.0,0.09901713211035776,0.15552488280148527,0.485539999129543,0.0012522033802853914,0.08593759570260723,0.0,0.020031022936700987,0.0,0.09162662336791755,0.0,0.0,0.20010163981777773,0.2038597015417338,0.0,0.19656673010193712,0.3127038769799089,0.509270607081846,4.997999491301865,58.42497366657874,0.0,28.4222785237816,1.0
14,FS_05,0.0,0.0,0.6080561152301208,0.0,0.0,0.0,0.1857434421821643,0.059595992214885464,0.064243743800517,0.004001124946079269,0.011279585162298716,0.006169354729349091,0.01595393907055843,0.044956702664026946,0.0,0.19393786888031225,0.038667909741387535,0.0013993874870849362,0.25305094740872464,0.4873154337168402,0.7403663811255649,4.99974989098508,56.86498336606541,0.0,29.350494306676936,7.0
15,FS_06,0.0,0.0,0.549518192870867,0.0,0.0,0.0,0.00869648993059801,0.3429931975562097,0.018816733646614656,0.0,0.0,0.0,0.0043048763130541425,0.07567050968265641,0.0,0.1756112333497339,0.10297238190708108,0.00481442154532761,0.18640793385530716,0.5129566412122176,0.6993645750675248,5.0,52.335544984521384,0.0,29.104981250776085,3.0
16,FS_07,0.0,0.0,0.8674299244653658,0.0,0.0,0.04331867503189085,0.0,0.0,0.0,0.0,0.0,0.0,0.07285245376497126,0.016398946737772008,0.0,0.18497774877462037,0.08305842386847431,0.0004357427541009345,0.22866907145649565,0.4767997543087025,0.7054688257651981,4.999479779445335,59.48644351015017,0.0,29.139132502167648,1.0
17,FS_08,0.0,0.0,0.12809438198779494,0.00791993172190766,0.0,0.023167914677864623,0.3945270118130578,0.0,0.2536748828294431,0.0,0.0174792434818908,0.0,0.175136633488041,0.0,0.0,0.2721053038866391,0.1580859035209713,0.0,0.13554544309853975,0.3561137903690278,0.49165923346756757,4.993034596579496,54.19463848149248,0.03256220867409929,29.04138692797354,1.0
