Tc_min,CutoffQ_cfs,Max_Inflow_cfs,Max_Depth_ft,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,0.0,0.64,0.0,0.0,35.4,0.0,0.0
1,0.005,0.64,0.0,6.68,35.4,18.870056497175142,0.0
1,0.01,0.64,0.0,11.1,35.4,31.35593220338983,0.0
1,0.015,0.64,0.0,14.6,35.4,41.24293785310735,0.0
1,0.02,0.64,0.0,17.5,35.4,49.43502824858757,0.0
1,0.025,0.64,0.0,19.9,35.4,56.21468926553672,0.0
1,0.03,0.64,0.0,21.9,35.4,61.86440677966102,0.0
1,0.035,0.64,0.0,23.6,35.4,66.66666666666667,0.0
1,0.04,0.64,0.0,25.1,35.4,70.90395480225989,0.0
1,0.045,0.64,0.0,26.3,35.4,74.29378531073448,0.0
1,0.05,0.64,0.0,27.4,35.4,77.40112994350282,0.0
1,0.055,0.64,0.0,28.3,35.4,79.94350282485875,0.0
1,0.06,0.64,0.0,29.1,35.4,82.20338983050848,0.0
1,0.08,0.64,0.0,31.4,35.4,88.70056497175142,0.0
1,0.1,0.64,0.0,32.8,35.4,92.65536723163842,0.0
1,0.12,0.64,0.0,33.7,35.4,95.19774011299437,0.0
1,0.14,0.64,0.0,34.2,35.4,96.61016949152543,0.0
1,0.16,0.64,0.0,34.6,35.4,97.7401129943503,0.0
1,0.18,0.64,0.0,34.8,35.4,98.3050847457627,0.0
1,0.2,0.64,0.0,35.0,35.4,98.87005649717514,0.0
1,0.22,0.64,0.0,35.1,35.4,99.15254237288137,0.0
1,0.24,0.64,0.0,35.2,35.4,99.43502824858759,0.0
1,0.26,0.64,0.0,35.2,35.4,99.43502824858759,0.0
1,0.28,0.64,0.0,35.3,35.4,99.71751412429379,0.0
1,0.3,0.64,0.0,35.3,35.4,99.71751412429379,0.0
1,0.32,0.64,0.0,35.3,35.4,99.71751412429379,0.0
1,0.34,0.64,0.0,35.3,35.4,99.71751412429379,0.0
1,0.36,0.64,0.0,35.3,35.4,99.71751412429379,0.0
1,0.38,0.64,0.0,35.4,35.4,100.0,0.0
1,0.4,0.64,0.0,35.4,35.4,100.0,0.0
1,0.45,0.64,0.0,35.4,35.4,100.0,0.0
