DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,1000,15.6,1.05,1051.0,311.08,677.542,45.91302089021787,0.0
1,2000,15.6,1.05,2100.0,449.142,677.542,66.28991265486125,0.0
1,3000,15.6,1.05,3148.0,529.237,677.542,78.11132003624867,0.0
1,4000,15.6,1.05,4193.0,578.259,677.542,85.3465910600376,0.0
1,5000,15.6,1.05,5237.0,610.008,677.542,90.03249983026883,0.0
1,6000,15.6,1.05,6279.0,630.956,677.542,93.12426388327218,0.0
1,7000,15.6,1.05,7318.0,644.953,677.542,95.19011367560977,0.0
1,8000,15.6,1.04,8356.0,654.715,677.542,96.63090996572906,-0.0
1,9000,15.6,1.04,9393.0,661.263,677.542,97.59734451886376,-0.0
1,10000,15.6,1.04,10427.0,665.736,677.542,98.25752499476047,-0.0
1,12500,15.6,1.04,13004.0,672.225,677.542,99.21525160063878,-0.0
1,15000,15.6,1.04,15570.0,674.975,677.542,99.62113049818313,-0.0
1,17500,15.6,1.04,18118.0,676.081,677.542,99.78436761115917,-0.0
1,20000,15.6,1.03,20650.0,676.63,677.542,99.86539579834165,-0.0
1,22500,15.6,1.03,23166.0,676.976,677.542,99.91646274326905,-0.0
1,25000,15.6,1.03,25666.0,677.168,677.542,99.94480046993395,-0.0
1,27500,15.6,1.02,28148.0,677.29,677.542,99.96280673375229,-0.0
1,30000,15.6,1.02,30611.0,677.372,677.542,99.97490930451542,-0.0
1,32500,15.6,1.02,32989.0,677.449,677.542,99.98627391364667,-0.0
1,35000,15.6,1.01,35234.0,677.52,677.542,99.99675296881964,-0.0
1,37500,15.6,0.84,31512.0,677.542,677.542,100.0,-0.0
1,40000,15.6,0.65,25843.0,677.542,677.542,100.0,-0.0
1,42500,15.6,0.49,20797.0,677.542,677.542,100.0,-0.0
1,45000,15.6,0.36,16359.000000000002,677.542,677.542,100.0,-0.0
1,47500,15.6,0.26,12528.0,677.542,677.542,100.0,-0.0
1,50000,15.6,0.19,9304.0,677.542,677.542,100.0,-0.0
1,55000,15.6,0.1,5515.0,677.542,677.542,100.0,-0.0
1,60000,15.6,0.09,5510.0,677.542,677.542,100.0,-0.0
1,65000,15.6,0.08,5510.0,677.542,677.542,100.0,-0.0
1,70000,15.6,0.08,5510.0,677.542,677.542,100.0,-0.0
1,75000,15.6,0.07,5510.0,677.542,677.542,100.0,0.0
1,80000,15.6,0.07,5510.0,677.542,677.542,100.0,-0.0
1,85000,15.6,0.06,5510.0,677.542,677.542,100.0,-0.0
1,90000,15.6,0.06,5510.0,677.542,677.542,100.0,0.0
1,95000,15.6,0.06,5510.0,677.542,677.542,100.0,-0.0
