DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,1000,17.77,1.06,1058.0,417.738,937.279,44.56922645231569,0.0
1,2000,17.77,1.06,2115.0,601.443,937.279,64.16904678329504,0.0
1,3000,17.77,1.06,3169.0,710.352,937.283,75.7884224935265,-0.0
1,4000,17.77,1.06,4222.0,779.961,937.284,83.21501273893506,-0.0
1,5000,17.77,1.05,5273.0,825.545,937.284,88.07842660282262,-0.0
1,6000,17.77,1.05,6322.0,856.349,937.284,91.36494381638863,-0.0
1,7000,17.77,1.05,7369.0,877.692,937.284,93.64205512950183,-0.0
1,8000,17.77,1.05,8414.0,892.465,937.284,95.21820494108509,-0.0
1,9000,17.77,1.05,9457.0,903.191,937.284,96.3625752706757,-0.0
1,10000,17.77,1.05,10499.0,911.143,937.284,97.2109840773981,-0.0
1,12500,17.77,1.05,13094.0,923.224,937.284,98.49992104847625,-0.0
1,15000,17.77,1.05,15678.0,929.114,937.284,99.1283325011416,-0.0
1,17500,17.77,1.04,18249.0,931.984,937.284,99.43453638384952,-0.0
1,20000,17.77,1.04,20809.0,933.791,937.284,99.62732746958233,-0.0
1,22500,17.77,1.04,23358.0,934.977,937.284,99.75386329010205,-0.0
1,25000,17.77,1.04,25894.0,935.961,937.284,99.85884747845904,-0.0
1,27500,17.77,1.03,28419.0,936.522,937.284,99.91870126877234,-0.0
1,30000,17.77,1.03,30854.0,936.87,937.284,99.95582982319127,-0.0
1,32500,17.77,1.02,33170.0,937.084,937.284,99.97866175033394,-0.0
1,35000,17.77,1.01,35333.0,937.238,937.284,99.99509220257681,-0.0
1,37500,17.77,0.86,32375.999999999996,937.284,937.284,100.0,-0.0
1,40000,17.77,0.69,27404.0,937.284,937.284,100.0,-0.0
1,42500,17.77,0.54,22990.0,937.284,937.284,100.0,-0.0
1,45000,17.77,0.42,19103.0,937.284,937.284,100.0,-0.0
1,47500,17.77,0.33,15730.0,937.284,937.284,100.0,-0.0
1,50000,17.77,0.26,12870.0,937.284,937.284,100.0,-0.0
1,55000,17.77,0.16,8682.0,937.284,937.284,100.0,-0.0
1,60000,17.77,0.11,6537.0,937.284,937.284,100.0,-0.0
1,65000,17.77,0.1,6237.0,937.284,937.284,100.0,-0.0
1,70000,17.77,0.09,6237.0,937.284,937.284,100.0,-0.0
1,75000,17.77,0.08,6237.0,937.284,937.284,100.0,-0.0
1,80000,17.77,0.08,6237.0,937.284,937.284,100.0,-0.0
1,85000,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0
1,90000,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0
1,95000,17.77,0.07,6237.0,937.284,937.284,100.0,-0.0
1,100000,17.77,0.06,6237.0,937.284,937.284,100.0,-0.0
1,125000,17.77,0.05,6237.0,937.284,937.284,100.0,-0.0
1,150000,17.77,0.04,6237.0,937.284,937.284,100.0,-0.0
1,175000,17.77,0.04,6237.0,937.284,937.284,100.0,-0.0
1,200000,17.77,0.03,6237.0,937.284,937.284,100.0,-0.0
1,225000,17.77,0.03,6237.0,937.284,937.284,100.0,-0.0
1,250000,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0
1,275000,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0
1,300000,17.77,0.02,6237.0,937.284,937.284,100.0,-0.0
2,1000,17.77,1.06,1059.0,279.317,937.279,29.80083838430179,0.0
2,2000,17.77,1.06,2117.0,434.814,937.272,46.39144239879139,0.0
2,3000,17.77,1.06,3174.0,544.817,937.264,58.12844620085696,0.0
2,4000,17.77,1.06,4229.0,626.84,937.27,66.87934106500796,-0.0
2,5000,17.77,1.06,5284.0,688.5,937.28,73.45723796517582,-0.0
2,6000,17.77,1.06,6338.0,736.185,937.281,78.54474805314521,-0.0
2,7000,17.77,1.06,7392.0,773.645,937.281,82.54141500787918,-0.0
2,8000,17.77,1.06,8444.0,803.043,937.281,85.67793436546778,-0.0
2,9000,17.77,1.05,9495.0,826.372,937.281,88.16694246442636,-0.0
2,10000,17.77,1.05,10545.0,845.219,937.281,90.17775885780253,-0.0
2,12500,17.77,1.05,13166.0,877.834,937.281,93.65750505984865,-0.0
2,15000,17.77,1.05,15782.0,898.071,937.281,95.81662276307746,-0.0
2,17500,17.77,1.05,18391.0,910.927,937.281,97.18824984182972,-0.0
2,20000,17.77,1.05,20995.0,918.832,937.281,98.03164685937303,-0.0
2,22500,17.77,1.05,23592.0,923.971,937.281,98.57993493946853,-0.0
2,25000,17.77,1.05,26184.0,927.397,937.281,98.94546032619887,-0.0
2,27500,17.77,1.05,28769.0,929.658,937.281,99.18669001078652,-0.0
2,30000,17.77,1.04,31349.0,931.231,937.281,99.35451588157662,-0.0
2,32500,17.77,1.04,33922.0,932.447,937.281,99.48425285480023,-0.0
2,35000,17.77,1.04,36490.0,933.5,937.281,99.59659909888285,-0.0
2,37500,17.77,1.04,39052.0,934.233,937.281,99.6748040342224,-0.0
2,40000,17.77,1.04,41606.0,934.861,937.281,99.74180635263065,-0.0
2,42500,17.77,1.04,44123.0,935.47,937.281,99.80678153083228,-0.0
2,45000,17.77,1.03,46548.0,936.032,937.281,99.86674220431227,-0.0
2,47500,17.77,1.03,48928.0,936.496,937.281,99.9162471019897,-0.0
2,50000,17.77,1.03,51264.0,936.813,937.281,99.95006833596328,-0.0
2,55000,17.77,1.02,55986.0,937.121,937.281,99.98292934562848,-0.0
2,60000,17.77,1.0,60119.0,937.279,937.281,99.99978661682036,-0.0
2,65000,17.77,0.78,50589.0,937.281,937.281,100.0,-0.0
2,70000,17.77,0.59,41416.0,937.281,937.281,100.0,-0.0
2,75000,17.77,0.48,35856.0,937.281,937.281,100.0,-0.0
2,80000,17.77,0.39,31129.0,937.281,937.281,100.0,-0.0
2,85000,17.77,0.32,26948.0,937.281,937.281,100.0,-0.0
2,90000,17.77,0.26,23295.0,937.281,937.281,100.0,-0.0
2,95000,17.77,0.21,20163.0,937.281,937.281,100.0,-0.0
2,100000,17.77,0.18,17546.0,937.281,937.281,100.0,-0.0
2,125000,17.77,0.1,12149.0,937.281,937.281,100.0,-0.0
2,150000,17.77,0.08,12149.0,937.281,937.281,100.0,-0.0
2,175000,17.77,0.07,12149.0,937.281,937.281,100.0,-0.0
2,200000,17.77,0.06,12149.0,937.281,937.281,100.0,-0.0
2,225000,17.77,0.05,12149.0,937.281,937.281,100.0,-0.0
2,250000,17.77,0.05,12149.0,937.281,937.281,100.0,-0.0
2,275000,17.77,0.04,12149.0,937.281,937.281,100.0,-0.0
2,300000,17.77,0.04,12149.0,937.281,937.281,100.0,-0.0
3,1000,17.77,1.06,1059.0,215.93,937.279,23.03796414941549,0.0
3,2000,17.77,1.06,2117.0,348.675,937.272,37.20104729470207,0.0
3,3000,17.77,1.06,3175.0,449.654,937.264,47.97517028286587,-0.0
3,4000,17.77,1.06,4232.0,529.726,937.257,56.518756328306964,-0.0
3,5000,17.77,1.06,5288.0,594.761,937.252,63.45796007903958,-0.0
3,6000,17.77,1.06,6344.0,647.609,937.255,69.09635051293405,-0.0
3,7000,17.77,1.06,7399.0,690.665,937.277,73.6884613620093,-0.0
3,8000,17.77,1.06,8453.0,726.337,937.279,77.4942146361969,-0.0
3,9000,17.77,1.06,9507.0,756.185,937.279,80.67875200447251,-0.0
3,10000,17.77,1.06,10560.0,781.248,937.279,83.35276902608508,-0.0
3,12500,17.77,1.06,13190.0,827.994,937.279,88.3401847262128,-0.0
3,15000,17.77,1.05,15816.0,858.65,937.279,91.61092908301583,-0.0
3,17500,17.77,1.05,18438.0,880.276,937.279,93.91824632793437,-0.0
3,20000,17.77,1.05,21056.0,895.613,937.279,95.55457873269326,-0.0
3,22500,17.77,1.05,23670.0,906.515,937.279,96.71773292690864,-0.0
3,25000,17.77,1.05,26280.0,914.077,937.279,97.52453645072599,-0.0
3,27500,17.77,1.05,28886.0,919.404,937.279,98.0928837624656,-0.0
3,30000,17.77,1.05,31488.0,922.927,937.279,98.4687590354633,-0.0
3,32500,17.77,1.05,34085.0,925.594,937.279,98.7533061126943,-0.0
3,35000,17.77,1.05,36679.0,927.671,937.279,98.97490501760949,-0.0
3,37500,17.77,1.05,39269.0,929.364,937.279,99.15553426461065,-0.0
3,40000,17.77,1.05,41854.0,930.615,937.279,99.28900572828368,-0.0
3,42500,17.77,1.05,44436.0,931.578,937.279,99.3917499485212,-0.0
3,45000,17.77,1.04,47013.0,932.453,937.279,99.48510528882008,-0.0
3,47500,17.77,1.04,49585.0,933.208,937.279,99.56565761102082,-0.0
3,50000,17.77,1.04,52138.0,933.898,937.279,99.63927496508511,-0.0
3,55000,17.77,1.04,57062.0,934.897,937.279,99.74586009075207,-0.0
3,60000,17.77,1.03,61846.0,935.754,937.279,99.83729497833623,-0.0
3,65000,17.77,1.03,66672.0,936.538,937.279,99.92094136324403,-0.0
3,70000,17.77,1.02,71502.0,936.997,937.279,99.96991290746938,-0.0
