DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,1000,32.09,1.11,1106.0,348.661,850.215,41.00856842092882,0.0
1,2000,32.09,1.11,2210.0,506.35,850.216,59.55545414341768,0.0
1,3000,32.09,1.1,3313.0,603.556,850.216,70.9885487923069,0.0
1,4000,32.09,1.1,4413.0,667.311,850.216,78.48723148000037,0.0
1,5000,32.09,1.1,5511.0,710.526,850.216,83.57005749127279,-0.0
1,6000,32.09,1.1,6608.0,741.667,850.216,87.23277378924885,-0.0
1,7000,32.09,1.1,7702.0,764.957,850.216,89.97207768378858,0.0
1,8000,32.09,1.1,8795.0,781.917,850.216,91.96686489080422,-0.0
1,9000,32.09,1.1,9885.0,794.795,850.216,93.48153880896149,-0.0
1,10000,32.09,1.1,10974.0,804.941,850.216,94.67488261806412,-0.0
1,12500,32.09,1.09,13687.0,821.818,850.216,96.65990759995107,-0.0
1,15000,32.09,1.09,16388.0,831.859,850.216,97.84090160618007,-0.0
1,17500,32.09,1.09,19077.0,838.149,850.216,98.58071360689519,-0.0
1,20000,32.09,1.09,21753.0,841.861,850.216,99.01730854277031,-0.0
1,22500,32.09,1.09,24418.0,844.483,850.216,99.32570076310019,-0.0
1,25000,32.09,1.08,27071.0,846.468,850.216,99.55917084599677,-0.0
1,27500,32.09,1.08,29711.0,848.052,850.216,99.74547644363315,-0.0
1,30000,32.09,1.08,32339.0,849.138,850.216,99.87320869049748,-0.0
1,32500,32.09,1.08,34955.0,849.533,850.216,99.91966747273634,-0.0
1,35000,32.09,1.07,37559.0,849.719,850.216,99.94154426639818,-0.0
1,37500,32.09,1.07,40140.0,849.842,850.216,99.95601117833586,-0.0
1,40000,32.09,1.07,42625.0,849.919,850.216,99.96506770044317,-0.0
1,42500,32.09,1.06,44973.0,849.977,850.216,99.97188949631622,-0.0
1,45000,32.09,1.05,47255.0,850.031,850.216,99.97824082350837,-0.0
1,47500,32.09,1.04,49463.0,850.083,850.216,99.98435691636007,-0.0
1,50000,32.09,1.03,51561.0,850.133,850.216,99.99023777487133,-0.0
1,55000,32.09,0.97,53369.0,850.216,850.216,100.0,-0.0
1,60000,32.09,0.77,46215.0,850.216,850.216,100.0,-0.0
1,65000,32.09,0.61,39732.0,850.216,850.216,100.0,-0.0
1,70000,32.09,0.48,33913.0,850.216,850.216,100.0,-0.0
1,75000,32.09,0.38,28754.0,850.216,850.216,100.0,-0.0
1,80000,32.09,0.3,24254.0,850.216,850.216,100.0,-0.0
1,85000,32.09,0.24,20412.0,850.216,850.216,100.0,-0.0
1,90000,32.09,0.19,17227.0,850.216,850.216,100.0,-0.0
1,95000,32.09,0.15,14700.0,850.216,850.216,100.0,-0.0
1,100000,32.09,0.13,12830.0,850.216,850.216,100.0,-0.0
1,125000,32.09,0.09,11053.0,850.216,850.216,100.0,-0.0
1,150000,32.09,0.07,11053.0,850.216,850.216,100.0,-0.0
1,175000,32.09,0.06,11053.0,850.216,850.216,100.0,-0.0
1,200000,32.09,0.06,11053.0,850.216,850.216,100.0,-0.0
1,225000,32.09,0.05,11053.0,850.216,850.216,100.0,-0.0
1,250000,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0
1,275000,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0
1,300000,32.09,0.04,11053.0,850.216,850.216,100.0,-0.0
2,1000,32.09,1.11,1107.0,230.784,850.215,27.144192939432966,0.0
2,2000,32.09,1.11,2212.0,361.863,850.216,42.56130206912126,0.0
2,3000,32.09,1.11,3317.0,455.646,850.216,53.59179314433038,0.0
2,4000,32.09,1.11,4420.0,526.854,850.216,61.96707660171062,0.0
2,5000,32.09,1.1,5523.0,581.995,850.216,68.45260498508614,0.0
2,6000,32.09,1.1,6624.0,625.786,850.216,73.60317848640815,-0.0
2,7000,32.09,1.1,7725.0,660.124,850.216,77.64191687759346,-0.0
2,8000,32.09,1.1,8824.0,687.618,850.216,80.87568335575901,-0.0
2,9000,32.09,1.1,9923.0,710.015,850.216,83.50995511728783,-0.0
2,10000,32.09,1.1,11020.0,728.68,850.216,85.70527959953705,-0.0
2,12500,32.09,1.1,13759.0,763.389,850.216,89.78765396087583,-0.0
2,15000,32.09,1.1,16492.0,786.204,850.216,92.47108969955869,-0.0
2,17500,32.09,1.1,19218.0,802.341,850.216,94.36907797547917,-0.0
2,20000,32.09,1.1,21939.0,813.9,850.216,95.72861484610969,-0.0
2,22500,32.09,1.1,24652.0,821.892,850.216,96.66861127054773,-0.0
2,25000,32.09,1.09,27360.0,828.077,850.216,97.3960734683892,-0.0
2,27500,32.09,1.09,30061.0,833.08,850.216,97.98451217102478,-0.0
2,30000,32.09,1.09,32756.0,836.814,850.216,98.42369468464483,-0.0
2,32500,32.09,1.09,35444.0,839.52,850.216,98.74196674727364,-0.0
2,35000,32.09,1.09,38126.0,841.638,850.216,98.99107991381014,-0.0
2,37500,32.09,1.09,40802.0,843.422,850.216,99.2009089454915,-0.0
2,40000,32.09,1.09,43472.0,844.939,850.216,99.3793341927228,-0.0
2,42500,32.09,1.09,46135.0,846.119,850.216,99.51812245358826,-0.0
2,45000,32.09,1.08,48792.0,847.215,850.216,99.64703087215484,-0.0
2,47500,32.09,1.08,51442.0,848.158,850.216,99.757943863677,-0.0
2,50000,32.09,1.08,54086.0,848.859,850.216,99.84039350000471,-0.0
2,55000,32.09,1.08,59328.0,849.656,850.216,99.934134384674,-0.0
2,60000,32.09,1.07,64245.99999999999,849.848,850.216,99.9567168813572,-0.0
2,65000,32.09,1.06,68861.0,849.942,850.216,99.96777289535835,-0.0
2,70000,32.09,1.05,73295.0,850.03,850.216,99.97812320633815,-0.0
2,75000,32.09,1.03,77462.0,850.113,850.216,99.98788543146682,-0.0
2,80000,32.09,1.01,81066.0,850.191,850.216,99.99705957074437,-0.0
2,85000,32.09,0.92,78536.0,850.216,850.216,100.0,-0.0
2,90000,32.09,0.82,74020.0,850.216,850.216,100.0,-0.0
2,95000,32.09,0.73,69761.0,850.216,850.216,100.0,-0.0
2,100000,32.09,0.66,65717.0,850.216,850.216,100.0,-0.0
2,125000,32.09,0.39,48327.0,850.216,850.216,100.0,-0.0
2,150000,32.09,0.24,35306.0,850.216,850.216,100.0,-0.0
2,175000,32.09,0.15,26483.0,850.216,850.216,100.0,-0.0
2,200000,32.09,0.11,21802.0,850.216,850.216,100.0,-0.0
2,225000,32.09,0.09,21094.0,850.216,850.216,100.0,-0.0
2,250000,32.09,0.08,21094.0,850.216,850.216,100.0,-0.0
2,275000,32.09,0.08,21094.0,850.216,850.216,100.0,-0.0
2,300000,32.09,0.07,21094.0,850.216,850.216,100.0,-0.0
3,1000,32.09,1.11,1107.0,176.986,850.21,20.816739393796823,0.0
3,2000,32.09,1.11,2213.0,288.412,850.215,33.92224319730891,0.0
3,3000,32.09,1.11,3318.0,373.378,850.215,43.91571543668366,0.0
3,4000,32.09,1.11,4423.0,441.508,850.216,51.92892159168964,0.0
3,5000,32.09,1.11,5527.0,497.345,850.216,58.49631152554174,0.0
3,6000,32.09,1.1,6630.0,543.852,850.216,63.9663332611948,0.0
3,7000,32.09,1.1,7732.0,582.528,850.216,68.51529493681606,0.0
