DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%
1,1000,18.85,1.06,1062.0,330.895,811.147,40.79346900130309,0.0
1,2000,18.85,1.06,2122.0,479.42,811.148,59.10388733005567,0.0
1,3000,18.85,1.06,3180.0,572.305,811.148,70.55494188483482,0.0
1,4000,18.85,1.06,4237.0,634.089,811.148,78.17180095371006,0.0
1,5000,18.85,1.06,5291.0,677.592,811.148,83.53494060270135,0.0
1,6000,18.85,1.06,6344.0,708.954,811.148,87.40131270742206,0.0
1,7000,18.85,1.06,7394.0,731.72,811.148,90.20795218628413,-0.0
1,8000,18.85,1.06,8443.0,748.495,811.148,92.27600881713325,-0.0
1,9000,18.85,1.05,9490.0,760.764,811.148,93.78855646565115,0.0
1,10000,18.85,1.05,10535.0,770.3,811.148,94.96417423207602,0.0
1,12500,18.85,1.05,13140.0,786.147,811.148,96.91782510713212,-0.0
1,15000,18.85,1.05,15733.0,795.474,811.148,98.06767692209067,0.0
1,17500,18.85,1.05,18314.0,800.818,811.148,98.72649627441601,-0.0
1,20000,18.85,1.04,20883.0,803.981,811.148,99.11643744421487,0.0
1,22500,18.85,1.04,23435.0,806.162,811.148,99.38531562674136,0.0
1,25000,18.85,1.04,25971.0,807.775,811.148,99.58416959667039,-0.0
1,27500,18.85,1.04,28492.0,808.899,811.148,99.72273863709212,0.0
1,30000,18.85,1.03,30997.0,809.657,811.148,99.81618644193169,0.0
1,32500,18.85,1.03,33487.0,810.195,811.148,99.88251219259617,0.0
1,35000,18.85,1.03,35959.0,810.615,811.148,99.93429065965766,0.0
1,37500,18.85,1.02,38409.0,810.958,811.148,99.97657640775789,0.0
1,40000,18.85,1.01,40589.0,811.108,811.148,99.99506871742271,0.0
1,42500,18.85,0.94,40032.0,811.148,811.148,100.0,0.0
1,45000,18.85,0.78,35218.0,811.148,811.148,100.0,0.0
1,47500,18.85,0.65,30696.0,811.148,811.148,100.0,0.0
1,50000,18.85,0.53,26468.0,811.148,811.148,100.0,0.0
1,55000,18.85,0.34,18891.0,811.148,811.148,100.0,0.0
1,60000,18.85,0.21,12488.0,811.148,811.148,100.0,0.0
