flowrate_cfs,intensity_inhr,tc_minutes,capture_fraction
0.0,0.0,1,0.0
,0.0,1,0.0
0.005,0.0106,1,0.1887
0.01,0.0212,1,0.3136
0.015,0.0318,1,0.4124
0.02,0.0424,1,0.4944
0.025,0.053,1,0.5621
0.03,0.0636,1,0.6186
0.035,0.0742,1,0.6667
0.04,0.0848,1,0.709
0.045,0.0954,1,0.7429
0.05,0.106,1,0.774
0.055,0.1165,1,0.7994
0.06,0.1271,1,0.822
0.08,0.1695,1,0.887
0.1,0.2119,1,0.9266
0.12,0.2543,1,0.952
0.14,0.2967,1,0.9661
0.16,0.3391,1,0.9774
0.18,0.3814,1,0.9831
0.2,0.4238,1,0.9887
0.22,0.4662,1,0.9915
0.24,0.5086,1,0.9944
0.26,0.551,1,0.9944
0.28,0.5933,1,0.9972
0.3,0.6357,1,0.9972
0.32,0.6781,1,0.9972
0.34,0.7205,1,0.9972
0.36,0.7629,1,0.9972
0.38,0.8053,1,1.0
0.4,0.8476,1,1.0
0.45,0.9536,1,1.0
0.5,1.0595,1,1.0
0.55,1.1655,1,1.0
0.6,1.2715,1,1.0
0.65,1.3774,1,1.0
0.7,1.4834,1,1.0
0.75,1.5893,1,1.0
0.8,1.6953,1,1.0
0.85,1.8012,1,1.0
0.9,1.9072,1,1.0
0.95,2.0131,1,1.0
1.0,2.1191,1,1.0
0.0,0.0,5,0.0
,0.0,5,0.0
0.005,0.0106,5,0.2009
0.01,0.0212,5,0.3324
0.015,0.0318,5,0.4318
0.02,0.0424,5,0.5142
0.025,0.053,5,0.5795
0.03,0.0636,5,0.6364
0.035,0.0742,5,0.6847
0.04,0.0848,5,0.7244
0.045,0.0954,5,0.7585
0.05,0.106,5,0.7869
0.055,0.1165,5,0.8125
0.06,0.1271,5,0.8324
0.08,0.1695,5,0.8949
0.1,0.2119,5,0.9318
0.12,0.2543,5,0.9545
0.14,0.2967,5,0.9688
0.16,0.3391,5,0.9773
0.18,0.3814,5,0.983
0.2,0.4238,5,0.9886
0.22,0.4662,5,0.9915
0.24,0.5086,5,0.9915
0.26,0.551,5,0.9943
0.28,0.5933,5,0.9943
0.3,0.6357,5,0.9972
0.32,0.6781,5,0.9972
0.34,0.7205,5,0.9972
0.36,0.7629,5,0.9972
0.38,0.8053,5,0.9972
0.4,0.8476,5,0.9972
0.45,0.9536,5,0.9972
0.5,1.0595,5,1.0
0.55,1.1655,5,1.0
0.6,1.2715,5,1.0
0.65,1.3774,5,1.0
0.7,1.4834,5,1.0
0.75,1.5893,5,1.0
0.8,1.6953,5,1.0
0.85,1.8012,5,1.0
0.9,1.9072,5,1.0
0.95,2.0131,5,1.0
1.0,2.1191,5,1.0
0.0,0.0,10,0.0
,0.0,10,0.0
0.005,0.0106,10,0.212
0.01,0.0212,10,0.3486
0.015,0.0318,10,0.4486
0.02,0.0424,10,0.5314
0.025,0.053,10,0.5971
0.03,0.0636,10,0.6543
0.035,0.0742,10,0.7
0.04,0.0848,10,0.74
0.045,0.0954,10,0.7714
0.05,0.106,10,0.8
0.055,0.1165,10,0.8229
0.06,0.1271,10,0.8457
0.08,0.1695,10,0.9029
0.1,0.2119,10,0.9371
0.12,0.2543,10,0.9571
0.14,0.2967,10,0.9714
0.16,0.3391,10,0.98
0.18,0.3814,10,0.9857
0.2,0.4238,10,0.9886
0.22,0.4662,10,0.9914
0.24,0.5086,10,0.9943
0.26,0.551,10,0.9943
0.28,0.5933,10,0.9971
0.3,0.6357,10,0.9971
0.32,0.6781,10,0.9971
0.34,0.7205,10,0.9971
0.36,0.7629,10,0.9971
0.38,0.8053,10,0.9971
0.4,0.8476,10,0.9971
0.45,0.9536,10,0.9971
0.5,1.0595,10,1.0
0.55,1.1655,10,1.0
0.6,1.2715,10,1.0
0.65,1.3774,10,1.0
0.7,1.4834,10,1.0
0.75,1.5893,10,1.0
0.8,1.6953,10,1.0
0.85,1.8012,10,1.0
0.9,1.9072,10,1.0
0.95,2.0131,10,1.0
1.0,2.1191,10,1.0
0.0,0.0,20,0.0
,0.0,20,0.0
0.005,0.0106,20,0.2288
0.01,0.0212,20,0.3718
0.015,0.0318,20,0.4784
0.02,0.0424,20,0.5591
0.025,0.053,20,0.6254
0.03,0.0636,20,0.6801
0.035,0.0742,20,0.7262
0.04,0.0848,20,0.7637
0.045,0.0954,20,0.7925
0.05,0.106,20,0.8213
0.055,0.1165,20,0.8415
0.06,0.1271,20,0.8617
0.08,0.1695,20,0.9135
0.1,0.2119,20,0.9452
0.12,0.2543,20,0.9625
0.14,0.2967,20,0.9741
0.16,0.3391,20,0.9827
0.18,0.3814,20,0.9885
0.2,0.4238,20,0.9914
0.22,0.4662,20,0.9942
0.24,0.5086,20,0.9942
0.26,0.551,20,0.9942
0.28,0.5933,20,0.9971
0.3,0.6357,20,0.9971
0.32,0.6781,20,0.9971
0.34,0.7205,20,0.9971
0.36,0.7629,20,0.9971
0.38,0.8053,20,0.9971
0.4,0.8476,20,0.9971
0.45,0.9536,20,1.0
0.5,1.0595,20,1.0
0.55,1.1655,20,1.0
0.6,1.2715,20,1.0
0.65,1.3774,20,1.0
0.7,1.4834,20,1.0
0.75,1.5893,20,1.0
0.8,1.6953,20,1.0
0.85,1.8012,20,1.0
0.9,1.9072,20,1.0
0.95,2.0131,20,1.0
1.0,2.1191,20,1.0
0.0,0.0,30,0.0
,0.0,30,0.0
0.005,0.0106,30,0.2427
0.01,0.0212,30,0.3924
0.015,0.0318,30,0.5
0.02,0.0424,30,0.5843
0.025,0.053,30,0.6483
0.03,0.0636,30,0.7035
0.035,0.0742,30,0.7471
0.04,0.0848,30,0.782
0.045,0.0954,30,0.811
0.05,0.106,30,0.8372
0.055,0.1165,30,0.8576
0.06,0.1271,30,0.875
0.08,0.1695,30,0.9244
0.1,0.2119,30,0.9535
0.12,0.2543,30,0.9709
0.14,0.2967,30,0.9797
0.16,0.3391,30,0.9855
0.18,0.3814,30,0.9913
0.2,0.4238,30,0.9942
0.22,0.4662,30,0.9971
0.24,0.5086,30,0.9971
0.26,0.551,30,0.9971
0.28,0.5933,30,1.0
0.3,0.6357,30,1.0
0.32,0.6781,30,1.0
0.34,0.7205,30,1.0
0.36,0.7629,30,1.0
0.38,0.8053,30,1.0
0.4,0.8476,30,1.0
0.45,0.9536,30,1.0
0.5,1.0595,30,1.0
0.55,1.1655,30,1.0
0.6,1.2715,30,1.0
0.65,1.3774,30,1.0
0.7,1.4834,30,1.0
0.75,1.5893,30,1.0
0.8,1.6953,30,1.0
0.85,1.8012,30,1.0
0.9,1.9072,30,1.0
0.95,2.0131,30,1.0
1.0,2.1191,30,1.0
0.0,0.0,60,0.0
,0.0,60,0.0
0.005,0.0106,60,0.2723
0.01,0.0212,60,0.4336
0.015,0.0318,60,0.5457
0.02,0.0424,60,0.6313
0.025,0.053,60,0.6932
0.03,0.0636,60,0.7463
0.035,0.0742,60,0.7847
0.04,0.0848,60,0.8171
0.045,0.0954,60,0.8437
0.05,0.106,60,0.8673
0.055,0.1165,60,0.885
0.06,0.1271,60,0.8997
0.08,0.1695,60,0.941
0.1,0.2119,60,0.9646
0.12,0.2543,60,0.9764
0.14,0.2967,60,0.9853
0.16,0.3391,60,0.9912
0.18,0.3814,60,0.9941
0.2,0.4238,60,0.9941
0.22,0.4662,60,0.9971
0.24,0.5086,60,0.9971
0.26,0.551,60,0.9971
0.28,0.5933,60,0.9971
0.3,0.6357,60,1.0
0.32,0.6781,60,1.0
0.34,0.7205,60,1.0
0.36,0.7629,60,1.0
0.38,0.8053,60,1.0
0.4,0.8476,60,1.0
0.45,0.9536,60,1.0
0.5,1.0595,60,1.0
0.55,1.1655,60,1.0
0.6,1.2715,60,1.0
0.65,1.3774,60,1.0
0.7,1.4834,60,1.0
0.75,1.5893,60,1.0
0.8,1.6953,60,1.0
0.85,1.8012,60,1.0
0.9,1.9072,60,1.0
0.95,2.0131,60,1.0
1.0,2.1191,60,1.0
0.0,0.0,120,0.0
,0.0,120,0.0
0.005,0.0106,120,0.3102
0.01,0.0212,120,0.488
0.015,0.0318,120,0.6054
0.02,0.0424,120,0.6867
0.025,0.053,120,0.747
0.03,0.0636,120,0.7952
0.035,0.0742,120,0.8283
0.04,0.0848,120,0.8584
0.045,0.0954,120,0.8795
0.05,0.106,120,0.9006
0.055,0.1165,120,0.9127
0.06,0.1271,120,0.9277
0.08,0.1695,120,0.9578
0.1,0.2119,120,0.9759
0.12,0.2543,120,0.9849
0.14,0.2967,120,0.991
0.16,0.3391,120,0.994
0.18,0.3814,120,0.994
0.2,0.4238,120,0.997
0.22,0.4662,120,0.997
0.24,0.5086,120,0.997
0.26,0.551,120,0.997
0.28,0.5933,120,1.0
0.3,0.6357,120,1.0
0.32,0.6781,120,1.0
0.34,0.7205,120,1.0
0.36,0.7629,120,1.0
0.38,0.8053,120,1.0
0.4,0.8476,120,1.0
0.45,0.9536,120,1.0
0.5,1.0595,120,1.0
0.55,1.1655,120,1.0
0.6,1.2715,120,1.0
0.65,1.3774,120,1.0
0.7,1.4834,120,1.0
0.75,1.5893,120,1.0
0.8,1.6953,120,1.0
0.85,1.8012,120,1.0
0.9,1.9072,120,1.0
0.95,2.0131,120,1.0
1.0,2.1191,120,1.0
