vol_cuft,size_fraction,ddt_hr,capture_fraction
,0.0,1,0.0
1000.0,0.0136,1,0.4079
2000.0,0.0273,1,0.591
3000.0,0.0409,1,0.7055
4000.0,0.0546,1,0.7817
5000.0,0.0682,1,0.8353
6000.0,0.0818,1,0.874
7000.0,0.0955,1,0.9021
8000.0,0.1091,1,0.9228
9000.0,0.1227,1,0.9379
10000.0,0.1364,1,0.9496
12500.0,0.1705,1,0.9692
15000.0,0.2046,1,0.9807
17500.0,0.2387,1,0.9873
20000.0,0.2728,1,0.9912
22500.0,0.3068,1,0.9939
25000.0,0.3409,1,0.9958
27500.0,0.375,1,0.9972
30000.0,0.4091,1,0.9982
32500.0,0.4432,1,0.9988
35000.0,0.4773,1,0.9993
37500.0,0.5114,1,0.9998
40000.0,0.5455,1,1.0
42500.0,0.5796,1,1.0
45000.0,0.6137,1,1.0
47500.0,0.6478,1,1.0
50000.0,0.6819,1,1.0
55000.0,0.7501,1,1.0
60000.0,0.8183,1,1.0
65000.0,0.8865,1,1.0
70000.0,0.9546,1,1.0
75000.0,1.0228,1,1.0
80000.0,1.091,1,1.0
85000.0,1.1592,1,1.0
90000.0,1.2274,1,1.0
95000.0,1.2956,1,1.0
100000.0,1.3638,1,1.0
125000.0,1.7047,1,1.0
150000.0,2.0457,1,1.0
175000.0,2.3866,1,1.0
200000.0,2.7275,1,1.0
225000.0,3.0685,1,1.0
250000.0,3.4094,1,1.0
275000.0,3.7504,1,1.0
300000.0,4.0913,1,1.0
,0.0,2,0.0
1000.0,0.0136,2,0.271
2000.0,0.0273,2,0.4234
3000.0,0.0409,2,0.5322
4000.0,0.0546,2,0.6157
5000.0,0.0682,2,0.6813
6000.0,0.0818,2,0.7328
7000.0,0.0955,2,0.7741
8000.0,0.1091,2,0.808
9000.0,0.1227,2,0.8357
10000.0,0.1364,2,0.8589
12500.0,0.1705,2,0.9022
15000.0,0.2046,2,0.9298
17500.0,0.2387,2,0.9485
20000.0,0.2728,2,0.9614
22500.0,0.3068,2,0.9709
25000.0,0.3409,2,0.9778
27500.0,0.375,2,0.9831
30000.0,0.4091,2,0.9868
32500.0,0.4432,2,0.9897
35000.0,0.4773,2,0.9918
37500.0,0.5114,2,0.9934
40000.0,0.5455,2,0.9946
42500.0,0.5796,2,0.9957
45000.0,0.6137,2,0.9966
47500.0,0.6478,2,0.9972
50000.0,0.6819,2,0.9976
55000.0,0.7501,2,0.9984
60000.0,0.8183,2,0.9992
65000.0,0.8865,2,0.9999
70000.0,0.9546,2,1.0
75000.0,1.0228,2,1.0
80000.0,1.091,2,1.0
85000.0,1.1592,2,1.0
90000.0,1.2274,2,1.0
95000.0,1.2956,2,1.0
100000.0,1.3638,2,1.0
125000.0,1.7047,2,1.0
150000.0,2.0457,2,1.0
175000.0,2.3866,2,1.0
200000.0,2.7275,2,1.0
225000.0,3.0685,2,1.0
250000.0,3.4094,2,1.0
275000.0,3.7504,2,1.0
300000.0,4.0913,2,1.0
,0.0,3,0.0
1000.0,0.0136,3,0.2082
2000.0,0.0273,3,0.338
3000.0,0.0409,3,0.4371
4000.0,0.0546,3,0.5163
5000.0,0.0682,3,0.5816
6000.0,0.0818,3,0.6365
7000.0,0.0955,3,0.6829
8000.0,0.1091,3,0.7218
9000.0,0.1227,3,0.7546
10000.0,0.1364,3,0.7826
12500.0,0.1705,3,0.8372
15000.0,0.2046,3,0.8768
17500.0,0.2387,3,0.9049
20000.0,0.2728,3,0.9256
22500.0,0.3068,3,0.9414
25000.0,0.3409,3,0.953
27500.0,0.375,3,0.9619
30000.0,0.4091,3,0.9692
32500.0,0.4432,3,0.9749
35000.0,0.4773,3,0.9795
37500.0,0.5114,3,0.9831
40000.0,0.5455,3,0.986
42500.0,0.5796,3,0.9884
45000.0,0.6137,3,0.9903
47500.0,0.6478,3,0.9918
50000.0,0.6819,3,0.9931
55000.0,0.7501,3,0.9952
60000.0,0.8183,3,0.9964
65000.0,0.8865,3,0.9972
70000.0,0.9546,3,0.9979
75000.0,1.0228,3,0.9985
80000.0,1.091,3,0.9991
85000.0,1.1592,3,0.9995
90000.0,1.2274,3,0.9999
95000.0,1.2956,3,1.0
100000.0,1.3638,3,1.0
125000.0,1.7047,3,1.0
150000.0,2.0457,3,1.0
175000.0,2.3866,3,1.0
200000.0,2.7275,3,1.0
225000.0,3.0685,3,1.0
250000.0,3.4094,3,1.0
275000.0,3.7504,3,1.0
300000.0,4.0913,3,1.0
,0.0,6,0.0
1000.0,0.0136,6,0.1286
2000.0,0.0273,6,0.2202
3000.0,0.0409,6,0.2966
4000.0,0.0546,6,0.3624
5000.0,0.0682,6,0.4203
