DDT_hr,Vol_cf,Max_Inflow_cfs,Max_Depth_ft,Max_Storage_Vol_cf,Treated_mgal,Total_mgal,Capture_Efficiency_%,Flow_Balance_Error_%,design_storm_volume_cuft,vol_cuft,size_fraction,ddt_hr,capture_fraction
,,,,,,,,,,0.0,0.0,1,0.0
1.0,1000.0,32.09,1.11,1106.0,348.661,850.215,41.00856842092882,0.0,68190.4575,1000.0,0.014664808488783052,1,0.41008568420928815
1.0,2000.0,32.09,1.11,2210.0,506.35,850.216,59.55545414341768,0.0,68190.4575,2000.0,0.029329616977566104,1,0.5955545414341767
1.0,3000.0,32.09,1.1,3313.0,603.556,850.216,70.9885487923069,0.0,68190.4575,3000.0,0.04399442546634916,1,0.709885487923069
1.0,4000.0,32.09,1.1,4413.0,667.311,850.216,78.48723148000037,0.0,68190.4575,4000.0,0.05865923395513221,1,0.7848723148000037
1.0,5000.0,32.09,1.1,5511.0,710.526,850.216,83.57005749127279,-0.0,68190.4575,5000.0,0.07332404244391526,1,0.8357005749127279
1.0,6000.0,32.09,1.1,6608.0,741.667,850.216,87.23277378924885,-0.0,68190.4575,6000.0,0.08798885093269831,1,0.8723277378924885
1.0,7000.0,32.09,1.1,7702.0,764.957,850.216,89.97207768378858,0.0,68190.4575,7000.0,0.10265365942148136,1,0.8997207768378859
1.0,8000.0,32.09,1.1,8795.0,781.917,850.216,91.96686489080422,-0.0,68190.4575,8000.0,0.11731846791026442,1,0.9196686489080421
1.0,9000.0,32.09,1.1,9885.0,794.795,850.216,93.48153880896147,-0.0,68190.4575,9000.0,0.13198327639904747,1,0.9348153880896147
1.0,10000.0,32.09,1.1,10974.0,804.941,850.216,94.67488261806412,-0.0,68190.4575,10000.0,0.14664808488783052,1,0.9467488261806412
1.0,12500.0,32.09,1.09,13687.0,821.818,850.216,96.65990759995108,-0.0,68190.4575,12500.0,0.18331010610978815,1,0.9665990759995108
1.0,15000.0,32.09,1.09,16388.0,831.859,850.216,97.84090160618008,-0.0,68190.4575,15000.0,0.2199721273317458,1,0.9784090160618009
1.0,17500.0,32.09,1.09,19077.0,838.149,850.216,98.5807136068952,-0.0,68190.4575,17500.0,0.2566341485537034,1,0.985807136068952
