flowrate_cfs,intensity_inhr,tc_minutes,capture_fraction
0.0,0.0,1,0.0
,0.0,1,0.0
0.005,0.0098,1,0.1673
0.01,0.0196,1,0.2806
0.015,0.0295,1,0.3732
0.02,0.0393,1,0.4472
0.025,0.0491,1,0.5106
0.03,0.0589,1,0.5669
0.035,0.0687,1,0.6127
0.04,0.0786,1,0.6549
0.045,0.0884,1,0.6901
0.05,0.0982,1,0.7218
0.055,0.108,1,0.75
0.06,0.1178,1,0.7746
0.08,0.1571,1,0.8486
0.1,0.1964,1,0.8944
0.12,0.2357,1,0.9261
0.14,0.2749,1,0.9437
0.16,0.3142,1,0.9577
0.18,0.3535,1,0.9683
0.2,0.3928,1,0.9754
0.22,0.432,1,0.9824
0.24,0.4713,1,0.9859
0.26,0.5106,1,0.9894
0.28,0.5499,1,0.9894
0.3,0.5891,1,0.993
0.32,0.6284,1,0.993
0.34,0.6677,1,0.9965
0.36,0.707,1,0.9965
0.38,0.7463,1,0.9965
0.4,0.7855,1,1.0
0.45,0.8837,1,1.0
0.5,0.9819,1,1.0
0.55,1.0801,1,1.0
0.6,1.1783,1,1.0
0.65,1.2765,1,1.0
0.7,1.3747,1,1.0
0.75,1.4729,1,1.0
0.8,1.5711,1,1.0
0.85,1.6693,1,1.0
0.9,1.7674,1,1.0
0.95,1.8656,1,1.0
1.0,1.9638,1,1.0
0.0,0.0,5,0.0
,0.0,5,0.0
0.005,0.0098,5,0.1774
0.01,0.0196,5,0.2954
0.015,0.0295,5,0.3887
0.02,0.0393,5,0.4629
0.025,0.0491,5,0.5265
0.03,0.0589,5,0.583
0.035,0.0687,5,0.629
0.04,0.0786,5,0.6678
0.045,0.0884,5,0.7032
0.05,0.0982,5,0.735
0.055,0.108,5,0.7597
0.06,0.1178,5,0.7845
0.08,0.1571,5,0.8551
0.1,0.1964,5,0.8975
0.12,0.2357,5,0.9258
0.14,0.2749,5,0.947
0.16,0.3142,5,0.9611
0.18,0.3535,5,0.9682
0.2,0.3928,5,0.9753
0.22,0.432,5,0.9788
0.24,0.4713,5,0.9823
0.26,0.5106,5,0.9859
0.28,0.5499,5,0.9894
0.3,0.5891,5,0.9894
0.32,0.6284,5,0.9929
0.34,0.6677,5,0.9929
0.36,0.707,5,0.9929
0.38,0.7463,5,0.9965
0.4,0.7855,5,0.9965
0.45,0.8837,5,0.9965
0.5,0.9819,5,0.9965
0.55,1.0801,5,1.0
0.6,1.1783,5,1.0
0.65,1.2765,5,1.0
0.7,1.3747,5,1.0
0.75,1.4729,5,1.0
0.8,1.5711,5,1.0
0.85,1.6693,5,1.0
0.9,1.7674,5,1.0
0.95,1.8656,5,1.0
1.0,1.9638,5,1.0
0.0,0.0,10,0.0
,0.0,10,0.0
0.005,0.0098,10,0.1875
0.01,0.0196,10,0.3103
0.015,0.0295,10,0.4057
0.02,0.0393,10,0.4804
0.025,0.0491,10,0.5445
0.03,0.0589,10,0.5979
0.035,0.0687,10,0.6441
0.04,0.0786,10,0.6833
0.045,0.0884,10,0.7189
0.05,0.0982,10,0.7473
0.055,0.108,10,0.7758
0.06,0.1178,10,0.7972
0.08,0.1571,10,0.8648
0.1,0.1964,10,0.9075
0.12,0.2357,10,0.9324
0.14,0.2749,10,0.9537
0.16,0.3142,10,0.9644
0.18,0.3535,10,0.9715
0.2,0.3928,10,0.9786
0.22,0.432,10,0.9822
0.24,0.4713,10,0.9858
0.26,0.5106,10,0.9893
0.28,0.5499,10,0.9929
0.3,0.5891,10,0.9929
0.32,0.6284,10,0.9964
0.34,0.6677,10,0.9964
0.36,0.707,10,0.9964
0.38,0.7463,10,0.9964
0.4,0.7855,10,1.0
0.45,0.8837,10,1.0
0.5,0.9819,10,1.0
0.55,1.0801,10,1.0
0.6,1.1783,10,1.0
0.65,1.2765,10,1.0
0.7,1.3747,10,1.0
0.75,1.4729,10,1.0
0.8,1.5711,10,1.0
0.85,1.6693,10,1.0
0.9,1.7674,10,1.0
0.95,1.8656,10,1.0
1.0,1.9638,10,1.0
0.0,0.0,20,0.0
,0.0,20,0.0
0.005,0.0098,20,0.2025
0.01,0.0196,20,0.3323
0.015,0.0295,20,0.4301
0.02,0.0393,20,0.509
0.025,0.0491,20,0.5735
0.03,0.0589,20,0.6237
0.035,0.0687,20,0.6703
0.04,0.0786,20,0.7061
0.045,0.0884,20,0.7419
0.05,0.0982,20,0.7706
0.055,0.108,20,0.7921
0.06,0.1178,20,0.8172
0.08,0.1571,20,0.8781
0.1,0.1964,20,0.9176
0.12,0.2357,20,0.9427
0.14,0.2749,20,0.957
0.16,0.3142,20,0.9677
0.18,0.3535,20,0.9749
0.2,0.3928,20,0.9821
0.22,0.432,20,0.9857
0.24,0.4713,20,0.9892
0.26,0.5106,20,0.9892
0.28,0.5499,20,0.9928
0.3,0.5891,20,0.9964
0.32,0.6284,20,0.9964
0.34,0.6677,20,0.9964
0.36,0.707,20,0.9964
0.38,0.7463,20,1.0
0.4,0.7855,20,1.0
0.45,0.8837,20,1.0
0.5,0.9819,20,1.0
0.55,1.0801,20,1.0
0.6,1.1783,20,1.0
0.65,1.2765,20,1.0
0.7,1.3747,20,1.0
0.75,1.4729,20,1.0
0.8,1.5711,20,1.0
0.85,1.6693,20,1.0
0.9,1.7674,20,1.0
0.95,1.8656,20,1.0
1.0,1.9638,20,1.0
0.0,0.0,30,0.0
,0.0,30,0.0
0.005,0.0098,30,0.214
0.01,0.0196,30,0.3489
0.015,0.0295,30,0.4496
0.02,0.0393,30,0.5288
0.025,0.0491,30,0.5899
0.03,0.0589,30,0.6439
0.035,0.0687,30,0.6871
0.04,0.0786,30,0.723
0.045,0.0884,30,0.7554
0.05,0.0982,30,0.7842
0.055,0.108,30,0.8058
0.06,0.1178,30,0.8273
0.08,0.1571,30,0.8885
0.1,0.1964,30,0.9245
0.12,0.2357,30,0.946
0.14,0.2749,30,0.9604
0.16,0.3142,30,0.9712
0.18,0.3535,30,0.9748
0.2,0.3928,30,0.982
0.22,0.432,30,0.9856
0.24,0.4713,30,0.9892
0.26,0.5106,30,0.9892
0.28,0.5499,30,0.9928
0.3,0.5891,30,0.9928
0.32,0.6284,30,0.9928
0.34,0.6677,30,0.9964
0.36,0.707,30,0.9964
0.38,0.7463,30,0.9964
0.4,0.7855,30,0.9964
0.45,0.8837,30,0.9964
0.5,0.9819,30,1.0
0.55,1.0801,30,1.0
0.6,1.1783,30,1.0
0.65,1.2765,30,1.0
0.7,1.3747,30,1.0
0.75,1.4729,30,1.0
0.8,1.5711,30,1.0
0.85,1.6693,30,1.0
0.9,1.7674,30,1.0
0.95,1.8656,30,1.0
1.0,1.9638,30,1.0
0.0,0.0,60,0.0
,0.0,60,0.0
0.005,0.0098,60,0.2409
0.01,0.0196,60,0.3869
0.015,0.0295,60,0.4927
0.02,0.0393,60,0.573
0.025,0.0491,60,0.6387
0.03,0.0589,60,0.6861
0.035,0.0687,60,0.7299
0.04,0.0786,60,0.7628
0.045,0.0884,60,0.792
0.05,0.0982,60,0.8175
0.055,0.108,60,0.8394
0.06,0.1178,60,0.8577
0.08,0.1571,60,0.9088
0.1,0.1964,60,0.938
0.12,0.2357,60,0.9562
0.14,0.2749,60,0.9708
0.16,0.3142,60,0.9781
0.18,0.3535,60,0.9818
0.2,0.3928,60,0.9891
0.22,0.432,60,0.9891
0.24,0.4713,60,0.9927
0.26,0.5106,60,0.9927
0.28,0.5499,60,0.9964
0.3,0.5891,60,0.9964
0.32,0.6284,60,0.9964
0.34,0.6677,60,1.0
0.36,0.707,60,1.0
0.38,0.7463,60,1.0
0.4,0.7855,60,1.0
0.45,0.8837,60,1.0
0.5,0.9819,60,1.0
0.55,1.0801,60,1.0
0.6,1.1783,60,1.0
0.65,1.2765,60,1.0
0.7,1.3747,60,1.0
0.75,1.4729,60,1.0
0.8,1.5711,60,1.0
0.85,1.6693,60,1.0
0.9,1.7674,60,1.0
0.95,1.8656,60,1.0
1.0,1.9638,60,1.0
0.0,0.0,120,0.0
,0.0,120,0.0
0.005,0.0098,120,0.2762
0.01,0.0196,120,0.4387
0.015,0.0295,120,0.5502
0.02,0.0393,120,0.632
0.025,0.0491,120,0.6914
0.03,0.0589,120,0.7398
0.035,0.0687,120,0.7807
0.04,0.0786,120,0.8104
0.045,0.0884,120,0.8364
0.05,0.0982,120,0.8587
0.055,0.108,120,0.8773
0.06,0.1178,120,0.8922
0.08,0.1571,120,0.9331
0.1,0.1964,120,0.9554
0.12,0.2357,120,0.9703
0.14,0.2749,120,0.9814
0.16,0.3142,120,0.9851
0.18,0.3535,120,0.9888
0.2,0.3928,120,0.9926
0.22,0.432,120,0.9963
0.24,0.4713,120,0.9963
0.26,0.5106,120,0.9963
0.28,0.5499,120,0.9963
0.3,0.5891,120,1.0
0.32,0.6284,120,1.0
0.34,0.6677,120,1.0
0.36,0.707,120,1.0
0.38,0.7463,120,1.0
0.4,0.7855,120,1.0
0.45,0.8837,120,1.0
0.5,0.9819,120,1.0
0.55,1.0801,120,1.0
0.6,1.1783,120,1.0
0.65,1.2765,120,1.0
0.7,1.3747,120,1.0
0.75,1.4729,120,1.0
0.8,1.5711,120,1.0
0.85,1.6693,120,1.0
0.9,1.7674,120,1.0
0.95,1.8656,120,1.0
1.0,1.9638,120,1.0
