vol_cuft,size_fraction,ddt_hr,capture_fraction
,0.0,1,0.0
1000.0,0.0147,1,0.4101
2000.0,0.0293,1,0.5956
3000.0,0.044,1,0.7099
4000.0,0.0587,1,0.7849
5000.0,0.0733,1,0.8357
6000.0,0.088,1,0.8723
7000.0,0.1027,1,0.8997
8000.0,0.1173,1,0.9197
9000.0,0.132,1,0.9348
10000.0,0.1466,1,0.9467
12500.0,0.1833,1,0.9666
15000.0,0.22,1,0.9784
17500.0,0.2566,1,0.9858
20000.0,0.2933,1,0.9902
22500.0,0.33,1,0.9933
25000.0,0.3666,1,0.9956
27500.0,0.4033,1,0.9975
30000.0,0.4399,1,0.9987
32500.0,0.4766,1,0.9992
35000.0,0.5133,1,0.9994
37500.0,0.5499,1,0.9996
40000.0,0.5866,1,0.9997
42500.0,0.6233,1,0.9997
45000.0,0.6599,1,0.9998
47500.0,0.6966,1,0.9998
50000.0,0.7332,1,0.9999
55000.0,0.8066,1,1.0
60000.0,0.8799,1,1.0
65000.0,0.9532,1,1.0
70000.0,1.0265,1,1.0
75000.0,1.0999,1,1.0
80000.0,1.1732,1,1.0
85000.0,1.2465,1,1.0
90000.0,1.3198,1,1.0
95000.0,1.3932,1,1.0
100000.0,1.4665,1,1.0
125000.0,1.8331,1,1.0
150000.0,2.1997,1,1.0
175000.0,2.5663,1,1.0
200000.0,2.933,1,1.0
225000.0,3.2996,1,1.0
250000.0,3.6662,1,1.0
275000.0,4.0328,1,1.0
300000.0,4.3994,1,1.0
,0.0,2,0.0
1000.0,0.0147,2,0.2714
2000.0,0.0293,2,0.4256
3000.0,0.044,2,0.5359
4000.0,0.0587,2,0.6197
5000.0,0.0733,2,0.6845
6000.0,0.088,2,0.736
7000.0,0.1027,2,0.7764
8000.0,0.1173,2,0.8088
9000.0,0.132,2,0.8351
10000.0,0.1466,2,0.8571
12500.0,0.1833,2,0.8979
15000.0,0.22,2,0.9247
17500.0,0.2566,2,0.9437
20000.0,0.2933,2,0.9573
22500.0,0.33,2,0.9667
25000.0,0.3666,2,0.974
27500.0,0.4033,2,0.9798
30000.0,0.4399,2,0.9842
32500.0,0.4766,2,0.9874
35000.0,0.5133,2,0.9899
37500.0,0.5499,2,0.992
40000.0,0.5866,2,0.9938
42500.0,0.6233,2,0.9952
45000.0,0.6599,2,0.9965
47500.0,0.6966,2,0.9976
50000.0,0.7332,2,0.9984
55000.0,0.8066,2,0.9993
60000.0,0.8799,2,0.9996
65000.0,0.9532,2,0.9997
70000.0,1.0265,2,0.9998
75000.0,1.0999,2,0.9999
80000.0,1.1732,2,1.0
85000.0,1.2465,2,1.0
90000.0,1.3198,2,1.0
95000.0,1.3932,2,1.0
100000.0,1.4665,2,1.0
125000.0,1.8331,2,1.0
150000.0,2.1997,2,1.0
175000.0,2.5663,2,1.0
200000.0,2.933,2,1.0
225000.0,3.2996,2,1.0
250000.0,3.6662,2,1.0
