long_name,prefix,code,field_base,units,field,display_name,description,preservation_direction,retrofit_direction,priority_subgoal
Landuse Airport Compatibility Residential,lu,RESAIR,resair,pct,lu_resair_pct,Landuse Airport Compatibility Residential (pct),,,,
Landuse Crossroads Mixed-Use Center,lu,COMMCMU,commcmu,pct,lu_commcmu_pct,Landuse Crossroads Mixed-Use Center (pct),,,,
Landuse Downtown Regional Growth Center,lu,RGCD,rgcd,pct,lu_rgcd_pct,Landuse Downtown Regional Growth Center (pct),,,,
Landuse General Commercial,lu,COM,com,pct,lu_com_pct,Landuse General Commercial (pct),,,,
Landuse Heavy Industrial,lu,INDH,indh,pct,lu_indh_pct,Landuse Heavy Industrial (pct),,,,
Landuse Light Industrial,lu,INDL,indl,pct,lu_indl_pct,Landuse Light Industrial (pct),,,,
Landuse Low-Scale Residential,lu,RESL,resl,pct,lu_resl_pct,Landuse Low-Scale Residential (pct),,,,
Landuse Major Institutional Campus,lu,INS,ins,pct,lu_ins_pct,Landuse Major Institutional Campus (pct),,,,
Landuse Mid-Scale Residential,lu,RESM,resm,pct,lu_resm_pct,Landuse Mid-Scale Residential (pct),,,,
Landuse Multi-Family (High Density),lu,RESMFHD,resmfhd,pct,lu_resmfhd_pct,Landuse Multi-Family (High Density) (pct),,,,
Landuse Neighborhood Commercial,lu,COMN,comn,pct,lu_comn_pct,Landuse Neighborhood Commercial (pct),,,,
Landuse Neighborhood Mixed-Use Center,lu,COMNMU,comnmu,pct,lu_comnmu_pct,Landuse Neighborhood Mixed-Use Center (pct),,,,
Landuse Parks and Open Space,lu,OS,os,pct,lu_os_pct,Landuse Parks and Open Space (pct),,,,
Landuse Shoreline,lu,SHORE,shore,pct,lu_shore_pct,Landuse Shoreline (pct),,,,
Landuse Tacoma Mall Regional Growth Center,lu,RGCTM,rgctm,pct,lu_rgctm_pct,Landuse Tacoma Mall Regional Growth Center (pct),,,,
Landcover Pasture,lc,,pasture,pct,lc_pasture_pct,Landcover Pasture (pct),,,,
Landcover Grass,lc,,grass,pct,lc_grass_pct,Landcover Grass (pct),,,,
Landcover Water,lc,,water,pct,lc_water_pct,Landcover Water (pct),,,,
Landcover Impervious-roof,lc,,imp-roof,pct,lc_imp_roof_pct,Landcover Impervious-roof (pct),,,,
Landcover Impervious-nonRoof,lc,,imp-nonroof,pct,lc_imp_nonroof_pct,Landcover Impervious-nonRoof (pct),,,,
Landcover Impervious-total,lc,,imp-total,pct,lc_imp_total_pct,Landcover Impervious-total (pct),,1,1,1_1
Age_of_Development,,,age_of_development,score,age_of_development_score,Age of Development Index,,1,1,1_2
Pavement_Condition,,,pavement_condition,score,pavement_condition_score,Pavement Condition Index,,1,1,4_2
Biodiversity,,,biodiversity,pct,biodiversity_pct,Biodiversity Corridor (percent),,1,1,3_1
Urban_Heat,,,urban_heat,degC,urban_heat_degc,Urban Heat Island (degrees C),,1,1,2_1
discharge_points,,,discharge_points,count,discharge_points_count,Outfalls (count),,1,1,
access,,,access,,access,access,,-1,-1,
economic_value,,,economic_value,,economic_value,economic_value,,-1,-1,
environmental_value,,,environmental_value,,environmental_value,environmental_value,,-1,-1,
Livability Index,,,livability_value,,livability_value,Livability Index,,-1,-1,4_1
Equity Index,,,opportunity_value,,opportunity_value,Equity Index,,-1,-1,4_1
,,,,,basinname,Watershed,,,,
,,,,,subbasin,Subbasin,,,,
,,,,,area_acres,Area (acres),,,,
,,,,,node_id,Node ID,,,,
,,,,,epoch,Climate Epoch,,,,
,,,,,runoff_depth_inches,,,-1,1,1_1
,,,,,runoff_volume_cuft,,,-1,1,
